DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
2/29/20,1,11,0
3/1/20,0,4,0
3/2/20,0,22,0
3/3/20,2,20,0
3/4/20,5,22,0
3/5/20,3,20,0
3/6/20,8,18,0
3/7/20,7,15,0
3/8/20,21,18,0
3/9/20,58,49,0
3/10/20,70,63,0
3/11/20,154,90,1
3/12/20,357,92,0
3/13/20,620,157,0
3/14/20,644,159,2
3/15/20,1035,189,5
3/16/20,2123,317,8
3/17/20,2455,360,8
3/18/20,2984,474,21
3/19/20,3713,561,24
3/20/20,4014,665,47
3/21/20,2640,701,44
3/22/20,2582,725,50
3/23/20,3571,1038,82
3/24/20,4507,1152,95
3/25/20,4852,1298,123
3/26/20,5045,1456,190
3/27/20,5129,1392,218
3/28/20,3479,1366,273
3/29/20,3558,1406,291
3/30/20,6129,1717,328
3/31/20,5474,1694,383
4/1/20,5462,1584,446
4/2/20,5766,1614,499
4/3/20,5676,1598,498
4/4/20,3867,1343,510
4/5/20,3792,1328,581
4/6/20,6377,1723,574
4/7/20,6065,1602,598
4/8/20,5586,1539,569
4/9/20,5074,1428,560
4/10/20,4520,1337,539
4/11/20,3731,1097,542
4/12/20,2888,995,573
4/13/20,3311,1212,570
4/14/20,4146,1087,512
4/15/20,3877,982,454
4/16/20,3525,882,413
4/17/20,3579,901,384
4/18/20,2170,661,391
4/19/20,2346,595,398
4/20/20,3786,722,365
4/21/20,3062,660,322
4/22/20,3458,599,312
4/23/20,2842,533,332
4/24/20,2537,551,316
4/25/20,1594,403,264
4/26/20,1003,375,247
4/27/20,2289,443,272
4/28/20,2727,442,228
4/29/20,2341,408,240
4/30/20,2019,343,222
5/1/20,1883,349,209
5/2/20,1057,261,192
5/3/20,784,255,178
5/4/20,1546,310,159
5/5/20,1512,282,151
5/6/20,1401,258,150
5/7/20,1231,252,142
5/8/20,1087,254,131
5/9/20,660,183,100
5/10/20,459,152,102
5/11/20,1233,246,103
5/12/20,1285,200,91
5/13/20,1334,223,82
5/14/20,1111,215,70
5/15/20,871,227,86
5/16/20,489,165,83
5/17/20,360,122,77
5/18/20,901,177,58
5/19/20,1006,203,54
5/20/20,1069,166,81
5/21/20,1069,172,45
5/22/20,1061,195,64
5/23/20,464,130,60
5/24/20,478,121,49
5/25/20,466,140,49
5/26/20,1053,150,37
5/27/20,754,160,49
5/28/20,634,141,38
5/29/20,649,159,43
5/30/20,347,95,53
5/31/20,215,91,39
6/1/20,665,124,34
6/2/20,574,125,38
6/3/20,512,115,42
6/4/20,510,89,32
6/5/20,407,64,26
6/6/20,246,48,35
6/7/20,196,45,24
6/8/20,443,60,41
6/9/20,424,49,32
6/10/20,365,46,31
6/11/20,354,39,21
6/12/20,407,51,23
6/13/20,194,27,14
6/14/20,182,40,24
6/15/20,376,48,20
6/16/20,419,46,20
6/17/20,348,41,20
6/18/20,368,38,16
6/19/20,351,40,17
6/20/20,204,25,18
6/21/20,169,32,28
6/22/20,390,40,26
6/23/20,374,39,25
6/24/20,374,33,24
6/25/20,290,35,18
6/26/20,276,34,21
6/27/20,152,30,18
6/28/20,129,27,15
6/29/20,302,36,22
6/30/20,290,31,19
7/1/20,188,18,5
7/2/20,190,7,10
7/3/20,50,0,3
7/4/20,8,0,0
